
URN: urn:cts:latinLit:phi0474.phi047	 XML: 2007.01.0045.xml
URN: urn:cts:latinLit:phi0474.phi046	 XML: 2007.01.0033.xml
URN: urn:cts:latinLit:phi0474.phi049	 XML: 2007.01.0044.xml
URN: urn:cts:latinLit:phi0474.phi048	 XML: 2007.01.0036.xml
URN: urn:cts:latinLit:phi0474.phi041	 XML: 2008.01.0543.xml
URN: urn:cts:latinLit:phi0474.phi040	 XML: 2008.01.0545.xml
URN: urn:cts:latinLit:phi0474.phi043	 XML: 2007.01.0031.xml
URN: urn:cts:latinLit:phi0474.phi042	 XML: 2008.01.0546.xml
URN: urn:cts:latinLit:phi0474.phi045	 XML: 2007.01.0032.xml
URN: urn:cts:latinLit:phi0474.phi044	 XML: 2007.01.0030.xml
URN: urn:cts:latinLit:phi0474.phi026	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi027	 XML: 1999.02.0013.xml
URN: urn:cts:latinLit:phi0474.phi024	 XML: 1999.02.0010.xml
URN: urn:cts:latinLit:phi0474.phi025	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi028	 XML: 1999.02.0015.xml
URN: urn:cts:latinLit:phi0474.phi022	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi023	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi020	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi021	 XML: 1999.02.0014.xml
URN: urn:cts:latinLit:phi0474.phi059	 XML: 1999.02.0007.xml
URN: urn:cts:latinLit:phi0474.phi058	 XML: 1999.02.0017.xml
URN: urn:cts:latinLit:phi0474.phi057	 XML: 1999.02.0008.xml
URN: urn:cts:latinLit:phi0474.phi052	 XML: 2007.01.0040.xml
URN: urn:cts:latinLit:phi0474.phi051	 XML: 2007.01.0038.xml
URN: urn:cts:latinLit:phi0474.phi050	 XML: 2007.01.0037.xml
URN: urn:cts:latinLit:phi0474.phi056	 XML: 1999.02.0009.xml
URN: urn:cts:latinLit:phi0474.phi055	 XML: 2007.01.0047.xml
URN: urn:cts:latinLit:phi0474.phi054	 XML: 2007.01.0035.xml
URN: urn:cts:latinLit:phi0474.phi053	 XML: 2007.01.0034.xml
URN: urn:cts:latinLit:phi0474.phi053	 XML: 2007.01.0042.xml
URN: urn:cts:latinLit:phi0914.phi00132	 XML: 1999.02.0176.xml
URN: urn:cts:latinLit:phi0914.phi00132	 XML: 1999.02.0207.xml
URN: urn:cts:latinLit:phi0914.phi00132	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00133	 XML: 1999.02.0177.xml
URN: urn:cts:latinLit:phi0914.phi00133	 XML: 1999.02.0207.xml
URN: urn:cts:latinLit:phi0914.phi00133	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00130	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00130	 XML: 1999.02.0162.xml
URN: urn:cts:latinLit:phi0914.phi00130	 XML: 1999.02.0206.xml
URN: urn:cts:latinLit:phi0914.phi001fr	 XML: 1999.02.0143.xml
URN: urn:cts:latinLit:phi0914.phi00131	 XML: 1999.02.0176.xml
URN: urn:cts:latinLit:phi0914.phi00131	 XML: 1999.02.0207.xml
URN: urn:cts:latinLit:phi0914.phi00131	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00136	 XML: 1999.02.0178.xml
URN: urn:cts:latinLit:phi0914.phi00136	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00136	 XML: 1999.02.0208.xml
URN: urn:cts:latinLit:phi0914.phi00137	 XML: 1999.02.0178.xml
URN: urn:cts:latinLit:phi0914.phi00137	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00137	 XML: 1999.02.0208.xml
URN: urn:cts:latinLit:phi0914.phi00134	 XML: 1999.02.0177.xml
URN: urn:cts:latinLit:phi0914.phi00134	 XML: 1999.02.0207.xml
URN: urn:cts:latinLit:phi0914.phi00134	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00135	 XML: 1999.02.0178.xml
URN: urn:cts:latinLit:phi0914.phi00135	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00135	 XML: 1999.02.0208.xml
URN: urn:cts:latinLit:phi0914.phi00138	 XML: 1999.02.0178.xml
URN: urn:cts:latinLit:phi0914.phi00138	 XML: 1999.02.0172.xml
URN: urn:cts:latinLit:phi0914.phi00138	 XML: 1999.02.0209.xml
URN: urn:cts:latinLit:phi0914.phi00139	 XML: 1999.02.0179.xml
URN: urn:cts:latinLit:phi0914.phi00139	 XML: 1999.02.0209.xml
URN: urn:cts:latinLit:phi0914.phi00139	 XML: 1999.02.0174.xml
URN: urn:cts:latinLit:phi0914.phi0018	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0018	 XML: 1999.02.0163.xml
URN: urn:cts:latinLit:phi0914.phi0018	 XML: 1999.02.0156.xml
URN: urn:cts:latinLit:phi0914.phi0017	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0017	 XML: 1999.02.0202.xml
URN: urn:cts:latinLit:phi0914.phi0017	 XML: 1999.02.0163.xml
URN: urn:cts:latinLit:phi0914.phi0019	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0019	 XML: 1999.02.0163.xml
URN: urn:cts:latinLit:phi0914.phi0019	 XML: 1999.02.0156.xml
URN: urn:cts:latinLit:phi0914.phi00110	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi00110	 XML: 1999.02.0163.xml
URN: urn:cts:latinLit:phi0914.phi00110	 XML: 1999.02.0156.xml
URN: urn:cts:latinLit:phi0914.phi00141	 XML: 1999.02.0180.xml
URN: urn:cts:latinLit:phi0914.phi00141	 XML: 1999.02.0210.xml
URN: urn:cts:latinLit:phi0914.phi00141	 XML: 1999.02.0140.xml
URN: urn:cts:latinLit:phi0914.phi00142	 XML: 1999.02.0180.xml
URN: urn:cts:latinLit:phi0914.phi00142	 XML: 1999.02.0210.xml
URN: urn:cts:latinLit:phi0914.phi00142	 XML: 1999.02.0140.xml
URN: urn:cts:latinLit:phi0914.phi00143	 XML: 1999.02.0181.xml
URN: urn:cts:latinLit:phi0914.phi00143	 XML: 1999.02.0140.xml
URN: urn:cts:latinLit:phi0914.phi00143	 XML: 1999.02.0211.xml
URN: urn:cts:latinLit:phi0914.phi00144	 XML: 1999.02.0181.xml
URN: urn:cts:latinLit:phi0914.phi00144	 XML: 1999.02.0140.xml
URN: urn:cts:latinLit:phi0914.phi00144	 XML: 1999.02.0211.xml
URN: urn:cts:latinLit:phi0914.phi00121	 XML: 1999.02.0200.xml
URN: urn:cts:latinLit:phi0914.phi00121	 XML: 1999.02.0161.xml
URN: urn:cts:latinLit:phi0914.phi00121	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00122	 XML: 1999.02.0200.xml
URN: urn:cts:latinLit:phi0914.phi00122	 XML: 1999.02.0161.xml
URN: urn:cts:latinLit:phi0914.phi00122	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00140	 XML: 1999.02.0179.xml
URN: urn:cts:latinLit:phi0914.phi00140	 XML: 1999.02.0174.xml
URN: urn:cts:latinLit:phi0914.phi00140	 XML: 1999.02.0210.xml
URN: urn:cts:latinLit:phi0914.phi00123	 XML: 1999.02.0161.xml
URN: urn:cts:latinLit:phi0914.phi00123	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00123	 XML: 1999.02.0204.xml
URN: urn:cts:latinLit:phi0914.phi0013	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0013	 XML: 1999.02.0160.xml
URN: urn:cts:latinLit:phi0914.phi0013	 XML: 1999.02.0201.xml
URN: urn:cts:latinLit:phi0914.phi00124	 XML: 1999.02.0161.xml
URN: urn:cts:latinLit:phi0914.phi00124	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00124	 XML: 1999.02.0204.xml
URN: urn:cts:latinLit:phi0914.phi0014	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0014	 XML: 1999.02.0160.xml
URN: urn:cts:latinLit:phi0914.phi0014	 XML: 1999.02.0201.xml
URN: urn:cts:latinLit:phi0914.phi00125	 XML: 1999.02.0161.xml
URN: urn:cts:latinLit:phi0914.phi00125	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00125	 XML: 1999.02.0204.xml
URN: urn:cts:latinLit:phi0914.phi0015	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0015	 XML: 1999.02.0160.xml
URN: urn:cts:latinLit:phi0914.phi0015	 XML: 1999.02.0202.xml
URN: urn:cts:latinLit:phi0914.phi00126	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00126	 XML: 1999.02.0205.xml
URN: urn:cts:latinLit:phi0914.phi00126	 XML: 1999.02.0162.xml
URN: urn:cts:latinLit:phi0914.phi0016	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0016	 XML: 1999.02.0202.xml
URN: urn:cts:latinLit:phi0914.phi0016	 XML: 1999.02.0163.xml
URN: urn:cts:latinLit:phi0914.phi00127	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00127	 XML: 1999.02.0205.xml
URN: urn:cts:latinLit:phi0914.phi00127	 XML: 1999.02.0162.xml
URN: urn:cts:latinLit:phi0914.phi00145	 XML: 1999.02.0182.xml
URN: urn:cts:latinLit:phi0914.phi00145	 XML: 1999.02.0140.xml
URN: urn:cts:latinLit:phi0914.phi00145	 XML: 1999.02.0211.xml
URN: urn:cts:latinLit:phi0914.phi00128	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00128	 XML: 1999.02.0162.xml
URN: urn:cts:latinLit:phi0914.phi00128	 XML: 1999.02.0206.xml
URN: urn:cts:latinLit:phi0914.phi00129	 XML: 1999.02.0170.xml
URN: urn:cts:latinLit:phi0914.phi00129	 XML: 1999.02.0162.xml
URN: urn:cts:latinLit:phi0914.phi00129	 XML: 1999.02.0206.xml
URN: urn:cts:latinLit:phi0914.phi0011	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0011	 XML: 1999.02.0199.xml
URN: urn:cts:latinLit:phi0914.phi0011	 XML: 1999.02.0160.xml
URN: urn:cts:latinLit:phi0914.phi0012	 XML: 1999.02.0169.xml
URN: urn:cts:latinLit:phi0914.phi0012	 XML: 1999.02.0199.xml
URN: urn:cts:latinLit:phi0914.phi0012	 XML: 1999.02.0160.xml
URN: urn:cts:latinLit:phi0917.phi001	 XML: 1999.02.0133.xml
URN: urn:cts:latinLit:phi0134.phi006	 XML: 1999.02.0086.xml
URN: urn:cts:latinLit:phi0134.phi004	 XML: 1999.02.0091.xml
URN: urn:cts:latinLit:phi0134.phi005	 XML: 1999.02.0090.xml
